CustomerID,TransactionDate,TransactionAmount
C-1518,2024-06-22,42.0
C-1945,2026-03-05,61.11
C-1633,2024-07-12,89.63
C-1510,2024-11-22,40.68
C-1216,2024-10-27,35.07
C-1414,2026-02-25,95.8
C-1444,2024-06-30,24.42
C-1530,2024-02-08,79.96
C-1125,2025-03-26,37.77
C-1637,2024-02-27,10.24
C-1659,2025-04-20,74.43
C-1934,2024-01-01,71.08
C-1386,2024-12-13,51.74
C-1368,2025-02-12,67.05
C-1823,2024-04-26,57.09
C-1202,2026-02-02,84.51
C-1228,2025-11-06,69.21
C-1401,2024-02-16,56.63
C-1232,2024-10-31,42.04
C-1372,2025-07-19,110.8
C-1885,2024-09-15,51.67
C-1667,2025-01-07,84.29
C-1007,2024-05-01,50.27
C-1697,2024-11-11,14.35
C-1177,2025-06-23,12.38
C-1723,2025-04-05,65.87
C-1731,2026-01-21,77.26
C-1449,2024-01-10,99.3
C-1823,2026-03-08,52.79
C-1064,2024-05-25,46.53
C-1223,2024-08-26,63.86
C-1062,2024-08-04,22.08
C-1853,2026-03-05,34.18
C-1104,2024-04-08,58.3
C-1510,2025-01-19,65.27
C-1644,2026-02-09,112.35
C-1436,2024-01-23,41.5
C-1077,2025-04-01,73.69
C-1877,2024-01-01,58.61
C-1445,2025-03-24,70.43
C-1880,2025-05-02,8.98
C-1071,2025-07-04,93.33
C-1153,2024-09-06,101.53
C-1890,2024-11-01,58.47
C-1267,2024-02-23,67.41
C-1766,2024-10-29,95.26
C-1918,2024-07-25,72.81
C-1074,2025-03-10,91.38
C-1102,2025-02-25,61.09
C-1305,2024-04-07,56.49
C-1849,2026-03-08,28.94
C-1993,2024-11-03,58.49
C-1248,2024-06-14,80.98
C-1541,2026-01-28,51.89
C-1105,2025-07-16,84.06
C-1137,2024-07-02,74.37
C-1400,2024-11-25,58.84
C-1449,2024-07-23,40.56
C-1125,2026-01-16,9.58
C-1110,2026-01-30,82.44
C-1662,2024-07-01,7.92
C-1911,2025-06-03,100.0
C-1899,2024-12-25,32.43
C-1863,2024-07-13,105.21
C-1666,2024-04-02,57.28
C-1050,2025-02-06,65.59
C-1788,2024-01-05,16.59
C-1533,2025-02-08,15.95
C-1837,2025-05-27,19.38
C-1045,2025-06-29,70.39
C-1944,2024-03-18,18.45
C-1793,2024-09-05,20.19
C-1046,2024-04-30,58.68
C-1106,2024-02-17,114.2
C-1572,2024-12-02,80.54
C-1624,2024-09-09,36.39
C-1691,2025-12-19,78.99
C-1525,2025-04-18,57.07
C-1027,2024-03-18,104.35
C-1525,2025-11-29,47.53
C-1311,2024-01-07,81.01
C-1362,2026-01-20,69.13
C-1507,2024-09-30,100.71
C-1014,2024-07-10,28.7
C-1984,2025-09-22,49.39
C-1952,2024-09-29,53.57
C-1230,2024-03-26,31.8
C-1144,2025-06-08,44.48
C-1211,2024-01-25,86.66
C-1108,2024-05-25,74.61
C-1110,2024-08-15,126.23
C-1775,2025-01-03,85.44
C-1747,2025-08-17,9.31
C-1691,2024-10-08,20.92
C-1319,2026-01-07,54.66
C-1965,2026-01-10,5.86
C-1376,2024-10-15,48.81
C-1349,2025-03-21,23.34
C-1829,2024-12-15,56.46
C-1039,2024-08-16,30.07
C-1547,2024-08-10,60.22
C-1074,2024-01-04,82.24
C-1846,2025-10-07,54.74
C-1997,2025-07-27,68.54
C-1440,2024-07-12,116.3
C-1434,2024-06-21,103.59
C-1299,2025-10-06,38.06
C-1786,2025-12-24,24.94
C-1224,2025-06-15,41.24
C-1089,2025-10-15,45.8
C-1319,2025-07-03,20.83
C-1867,2024-09-15,63.03
C-1672,2025-11-20,117.01
C-1649,2024-06-20,13.35
C-1897,2024-01-13,37.52
C-1318,2025-09-04,62.83
C-1328,2026-02-23,52.85
C-1549,2025-02-22,24.29
C-1605,2024-04-04,60.09
C-1587,2025-06-30,57.68
C-1512,2024-10-22,72.38
C-1228,2024-09-26,69.92
C-1827,2026-03-08,41.73
C-1850,2025-01-13,68.76
C-1077,2025-02-13,46.78
C-1041,2024-03-29,73.24
C-1401,2024-10-22,108.17
C-1799,2025-11-21,43.05
C-1636,2025-02-25,24.79
C-1992,2025-10-26,100.32
C-1144,2024-08-12,75.6
C-1820,2025-09-07,25.19
C-1103,2024-02-08,10.64
C-1447,2025-05-14,89.31
C-1014,2025-09-14,73.98
C-1230,2025-02-23,123.12
C-1156,2025-07-03,79.84
C-1410,2024-10-15,85.3
C-1253,2024-07-14,100.29
C-1634,2024-04-27,67.06
C-1805,2024-06-07,31.62
C-1947,2025-11-26,20.9
C-1014,2024-06-05,24.44
C-1323,2025-11-15,144.29
C-1129,2025-02-14,96.58
C-1291,2026-03-04,85.26
C-1810,2024-10-09,23.25
C-1841,2025-07-03,39.61
C-1133,2025-12-12,5.38
C-1362,2025-01-30,36.85
C-1217,2024-05-20,81.04
C-1682,2025-04-04,26.9
C-1355,2024-11-19,91.15
C-1798,2025-01-12,75.17
C-1904,2024-02-20,60.52
C-1725,2026-02-17,58.0
C-1406,2026-02-07,131.16
C-1660,2025-03-06,70.72
C-1968,2024-11-04,87.13
C-1116,2025-10-27,37.52
C-1936,2025-07-28,86.55
C-1805,2025-01-20,47.58
C-1902,2024-07-28,80.22
C-1639,2026-02-01,53.85
C-1178,2024-06-30,54.8
C-1709,2025-05-15,15.43
C-1855,2024-06-09,87.41
C-1661,2025-10-27,10.35
C-1155,2025-04-13,68.36
C-1360,2025-11-19,55.43
C-1147,2025-09-21,58.3
C-1359,2025-07-14,88.89
C-1326,2026-02-07,28.87
C-1434,2025-12-23,6.64
C-1317,2024-02-01,122.69
C-1476,2024-10-12,37.79
C-1143,2025-02-27,5.48
C-1370,2024-06-23,76.03
C-1193,2025-05-16,17.35
C-1677,2025-10-05,17.78
C-1896,2024-09-20,12.77
C-1877,2024-06-10,31.67
C-1379,2024-03-27,47.3
C-1312,2026-01-28,85.73
C-1834,2025-03-18,132.14
C-1760,2024-08-26,59.47
C-1228,2025-08-01,59.3
C-1263,2025-02-21,84.35
C-1802,2024-04-05,55.39
C-1813,2025-05-05,56.85
C-1911,2025-03-27,5.8
C-1977,2024-01-07,27.98
C-1329,2026-02-13,75.67
C-1623,2025-01-15,69.0
C-1914,2025-07-01,96.02
C-1896,2025-12-09,83.75
C-1915,2025-06-06,33.87
C-1470,2024-04-28,12.75
C-1395,2025-06-15,16.59
C-1733,2024-08-13,107.64
C-1052,2025-05-14,59.99
C-1058,2025-12-27,25.72
C-1127,2026-01-05,44.09
C-1525,2025-06-04,53.29
C-1551,2024-08-24,14.25
C-1277,2024-08-22,40.92
C-1493,2024-01-04,88.09
C-1837,2024-05-25,89.54
C-1127,2024-02-11,6.11
C-1016,2025-11-07,71.56
C-1152,2025-01-12,38.16
C-1341,2024-01-27,64.43
C-1824,2024-10-13,62.68
C-1267,2026-01-18,84.48
C-1820,2025-03-30,90.59
C-1980,2025-04-20,62.71
C-1701,2025-09-25,10.64
C-1821,2024-12-28,25.31
C-1704,2025-11-23,11.97
C-1148,2026-02-17,72.43
C-1295,2024-01-11,95.24
C-1806,2026-01-13,28.49
C-1226,2024-11-05,117.44
C-1757,2025-02-09,45.86
C-1068,2024-11-07,73.23
C-1490,2025-05-21,9.42
C-1364,2025-04-26,40.6
C-1072,2025-12-13,123.95
C-1295,2024-01-17,104.65
C-1615,2024-02-11,33.87
C-1024,2024-02-08,84.57
C-1816,2024-01-17,37.17
C-1329,2025-07-22,15.42
C-1317,2025-08-14,48.21
C-1215,2024-12-04,79.5
C-1726,2025-04-29,73.56
C-1373,2025-12-10,95.65
C-1488,2025-06-21,85.86
C-1046,2024-10-14,67.89
C-1918,2026-03-04,61.23
C-1980,2024-03-26,22.57
C-1687,2025-05-12,86.59
C-1826,2025-12-27,74.71
C-1371,2025-02-05,78.75
C-1442,2025-05-04,95.44
C-1151,2025-09-11,93.92
C-1187,2024-04-07,57.39
C-1985,2024-07-01,85.4
C-1982,2024-12-29,95.02
C-1515,2024-12-14,64.53
C-1981,2025-01-31,81.03
C-1425,2024-04-17,63.49
C-1893,2025-03-25,76.4
C-1738,2024-02-08,56.41
C-1813,2024-01-29,39.48
C-1244,2026-01-17,97.28
C-1696,2024-09-28,41.63
C-1358,2024-12-05,98.6
C-1388,2025-07-30,42.39
C-1141,2025-01-10,46.55
C-1669,2024-11-19,75.02
C-1431,2025-12-05,103.42
C-1948,2025-08-07,47.65
C-1963,2024-05-19,28.51
C-1186,2024-03-01,71.89
C-1806,2025-03-15,9.02
C-1318,2024-10-28,79.95
C-1225,2024-06-01,61.23
C-1710,2025-07-17,50.52
C-1860,2025-07-28,35.22
C-1309,2024-08-30,7.9
C-1225,2024-08-05,57.22
C-1936,2026-01-22,70.46
C-1726,2025-11-19,90.83
C-1520,2024-04-08,73.94
C-1890,2025-05-04,128.62
C-1418,2025-11-20,60.09
C-1002,2024-06-08,54.91
C-1738,2026-02-19,61.09
C-1328,2025-08-02,9.53
C-1909,2024-12-22,36.62
C-1648,2024-07-13,43.37
C-1920,2026-01-07,63.58
C-1039,2025-06-20,65.03
C-1260,2025-01-29,49.69
C-1974,2024-02-07,31.05
C-1327,2024-09-07,54.01
C-1453,2024-02-06,108.84
C-1315,2025-11-18,39.47
C-1592,2024-04-23,61.71
C-1039,2024-10-27,130.81
C-1697,2024-11-18,39.07
C-1567,2024-02-09,75.46
C-1748,2024-10-15,110.4
C-1261,2024-08-03,72.72
C-1352,2025-07-24,88.26
C-1570,2025-11-11,19.93
C-1692,2024-06-18,32.72
C-1355,2024-07-09,27.15
C-1132,2026-01-16,72.83
C-1556,2026-01-30,43.89
C-1669,2025-07-04,29.99
C-1926,2024-03-22,67.55
C-1988,2025-06-07,67.01
C-1294,2024-08-11,47.55
C-1232,2024-01-17,37.15
C-1359,2024-08-10,48.36
C-1466,2025-02-17,60.69
C-1454,2025-08-08,90.59
C-1411,2025-07-25,47.91
C-1334,2024-08-09,78.11
C-1915,2025-04-28,75.3
C-1241,2024-11-19,87.21
C-1917,2025-02-04,24.2
C-1905,2025-12-05,37.4
C-1762,2024-08-14,112.32
C-1947,2025-01-15,36.13
C-1032,2025-10-07,49.94
C-1878,2024-03-19,37.97
C-1982,2025-06-21,76.94
C-1481,2025-03-05,75.35
C-1098,2025-01-31,53.56
C-1488,2024-02-08,93.96
C-1074,2026-03-10,58.23
C-1129,2025-11-17,88.66
C-1538,2025-12-07,94.32
C-1848,2025-01-16,48.33
C-1020,2024-10-29,20.59
C-1975,2024-03-24,9.23
C-1386,2025-05-21,34.24
C-1256,2025-07-23,47.76
C-1956,2024-06-11,65.56
C-1831,2026-03-03,70.07
C-1491,2024-07-26,106.62
C-1538,2025-08-06,42.43
C-1604,2024-11-04,40.55
C-1519,2025-08-13,103.8
C-1198,2025-01-21,29.44
C-1348,2025-11-23,50.15
C-1733,2024-07-24,14.76
C-1454,2024-09-29,12.22
C-1520,2025-11-08,73.18
C-1943,2025-12-26,7.26
C-1343,2025-08-06,71.94
C-1394,2024-03-04,46.69
C-1273,2024-11-15,54.24
C-1337,2024-12-31,91.45
C-1101,2025-02-28,77.26
C-1391,2026-02-17,25.99
C-1400,2025-08-10,53.57
C-1888,2024-02-15,54.89
C-1085,2024-04-01,20.25
C-1659,2025-11-03,48.37
C-1864,2024-01-02,55.81
C-1224,2026-01-14,46.92
C-1115,2025-10-27,52.42
C-1917,2024-04-12,60.86
C-1685,2024-05-01,23.12
C-1142,2024-04-15,96.98
C-1901,2024-01-09,82.74
C-1773,2024-03-13,56.79
C-1369,2025-12-16,35.59
C-1263,2025-11-20,92.96
C-1110,2024-09-07,71.78
C-1382,2024-01-07,74.54
C-1389,2024-11-09,114.3
C-1021,2025-02-13,37.61
C-1699,2024-01-14,54.28
C-1970,2024-01-12,35.46
C-1300,2024-08-30,40.48
C-1121,2024-05-26,70.69
C-1694,2024-10-14,37.79
C-1306,2025-08-16,70.18
C-1058,2025-10-04,14.92
C-1923,2025-12-14,13.91
C-1949,2024-07-25,40.77
C-1352,2024-11-27,88.94
C-1804,2025-05-30,46.76
C-1731,2024-12-29,55.86
C-1561,2025-11-19,102.41
C-1946,2025-08-30,42.72
C-1865,2025-05-26,57.3
C-1739,2025-07-31,94.51
C-1294,2026-01-24,68.18
C-1370,2024-07-04,99.3
C-1910,2026-01-06,96.4
C-1866,2026-03-04,69.82
C-1598,2024-10-24,62.82
C-1939,2025-06-09,54.23
C-1317,2025-05-16,90.18
C-1827,2025-01-15,78.15
C-1984,2024-03-24,40.46
C-1129,2026-01-12,44.13
C-1027,2024-03-06,21.41
C-1162,2024-08-16,55.51
C-1459,2025-11-06,52.19
C-1300,2024-10-29,67.99
C-1629,2024-09-26,46.01
C-1591,2025-08-27,84.89
C-1256,2024-05-12,40.19
C-1275,2026-02-14,100.02
C-1575,2024-10-10,80.51
C-1120,2024-04-16,80.41
C-1164,2024-10-31,91.68
C-1496,2025-09-23,65.88
C-1718,2025-09-11,93.96
C-1250,2024-11-29,56.45
C-1019,2024-10-08,34.37
C-1796,2024-01-01,51.07
C-1756,2024-02-28,23.95
C-1836,2024-06-09,37.34
C-1489,2024-10-02,55.28
C-1692,2024-08-29,59.18
C-1184,2024-02-08,68.58
C-1222,2024-07-02,18.03
C-1427,2024-10-20,143.13
C-1851,2024-05-30,26.85
C-1374,2024-01-08,74.33
C-1340,2024-05-08,33.38
C-1357,2025-05-31,69.52
C-1494,2024-03-26,79.16
C-1118,2024-08-05,18.43
C-1426,2025-02-17,127.1
C-1647,2024-10-29,53.27
C-1743,2025-08-10,60.95
C-1963,2024-01-01,47.21
C-1146,2024-10-13,22.31
C-1068,2024-12-26,103.93
C-1601,2024-08-07,65.27
C-1574,2025-08-07,21.65
C-1160,2025-11-11,47.14
C-1970,2024-11-19,39.77
C-1609,2025-01-15,82.04
C-1396,2024-10-05,50.83
C-1850,2024-12-30,50.5
C-1821,2025-03-30,58.77
C-1600,2025-12-25,22.11
C-1710,2024-05-22,11.8
C-1916,2025-08-27,8.42
C-1496,2024-10-17,45.89
C-1939,2024-04-11,60.09
C-1621,2026-02-15,34.0
C-1002,2024-03-25,56.77
C-1453,2025-09-20,88.78
C-1220,2024-06-02,6.08
C-1739,2026-02-21,60.13
C-1042,2024-12-08,72.84
C-1890,2025-03-02,80.6
C-1020,2025-02-10,82.5
C-1116,2024-05-03,50.21
C-1398,2026-03-03,19.4
C-1323,2026-02-27,100.92
C-1140,2025-04-14,41.0
C-1963,2025-01-07,42.18
C-1563,2025-05-08,84.13
C-1290,2025-10-09,36.48
C-1143,2024-04-15,100.44
C-1944,2025-08-11,78.19
C-1643,2024-03-30,50.97
C-1350,2024-04-17,50.22
C-1585,2024-02-08,110.4
C-1311,2024-08-28,61.67
C-1937,2025-03-20,96.92
C-1384,2024-06-20,52.75
C-1375,2025-11-15,69.16
C-1886,2024-04-27,59.18
C-1276,2025-12-26,94.76
C-1782,2024-01-10,67.66
C-1983,2025-01-12,77.19
C-1151,2025-12-20,47.39
C-1048,2024-06-02,29.28
C-1663,2025-06-14,23.25
C-1611,2024-02-29,85.87
C-1914,2025-11-06,72.09
C-1969,2025-03-14,19.37
C-1482,2024-04-17,64.29
C-1225,2025-11-03,49.44
C-1431,2025-10-16,51.11
C-1418,2025-03-30,8.89
C-1589,2024-03-17,63.03
C-1508,2025-03-16,64.43
C-1802,2024-09-19,54.94
C-1596,2025-10-19,11.93
C-1166,2026-01-22,12.39
C-1458,2024-10-06,72.07
C-1166,2025-09-12,103.85
C-1035,2026-01-13,88.92
C-1072,2025-10-09,106.47
C-1352,2024-03-10,37.4
C-1560,2025-10-03,49.07
C-1955,2025-05-31,60.89
C-1775,2024-08-17,36.94
C-1711,2025-07-15,22.14
C-1057,2024-09-15,76.99
C-1341,2024-05-09,105.18
C-1797,2024-04-25,67.57
C-1263,2025-10-23,71.75
C-1844,2025-04-21,57.28
C-1286,2024-10-29,60.08
C-1445,2025-10-31,12.59
C-1632,2024-02-24,32.93
C-1907,2025-10-09,92.08
C-1979,2025-05-29,22.23
C-1516,2024-09-04,45.51
C-1363,2024-11-16,57.26
C-1965,2025-02-09,91.81
C-1977,2025-03-31,39.18
C-1783,2025-04-04,65.85
C-1549,2025-05-14,22.88
C-1577,2024-12-26,28.31
C-1340,2026-02-08,57.62
C-1842,2024-06-28,76.24
C-1701,2025-02-10,68.47
C-1142,2024-12-07,39.08
C-1315,2024-04-10,55.78
C-1560,2024-02-11,29.06
C-1677,2025-08-16,99.28
C-1669,2025-04-06,87.51
C-1133,2024-03-07,34.96
C-1072,2025-02-02,84.76
C-1404,2025-11-05,71.1
C-1465,2024-07-24,28.05
C-1787,2026-02-06,58.7
C-1252,2024-10-15,76.28
C-1163,2024-04-04,128.95
C-1821,2024-08-25,46.0
C-1380,2025-03-11,30.77
C-1024,2025-10-14,56.92
C-1116,2025-04-26,70.23
C-1607,2024-04-01,56.62
C-1652,2025-06-26,41.65
C-1827,2025-03-22,63.8
C-1389,2025-11-02,71.2
C-1059,2025-10-24,16.53
C-1466,2024-10-13,34.34
C-1778,2025-11-20,53.12
C-1252,2024-02-25,37.05
C-1904,2024-04-08,7.23
C-1148,2024-11-24,33.73
C-1262,2024-03-20,80.63
C-1399,2026-02-02,100.64
C-1551,2026-02-23,95.45
C-1100,2024-12-24,37.22
C-1419,2024-05-03,39.78
C-1421,2024-08-18,81.31
C-1702,2025-07-27,75.21
C-1767,2025-04-27,19.9
C-1525,2025-03-30,9.06
C-1740,2025-08-20,48.02
C-1741,2025-08-13,23.61
C-1660,2025-10-11,25.2
C-1900,2024-03-05,72.38
C-1012,2024-07-31,67.49
C-1692,2024-12-03,87.29
C-1996,2024-06-21,51.33
C-1496,2025-11-30,41.95
C-1394,2025-12-03,7.28
C-1628,2026-03-04,54.85
C-1509,2025-12-08,43.31
C-1593,2026-01-13,71.61
C-1226,2026-01-14,85.36
C-1553,2024-01-21,64.63
C-1553,2025-01-31,68.95
C-1129,2025-07-25,60.0
C-1559,2024-01-29,64.76
C-1955,2024-08-19,50.0
C-1788,2024-10-10,97.32
C-1954,2025-12-26,91.43
C-1199,2024-03-19,51.29
C-1172,2025-04-11,84.28
C-1580,2025-02-19,54.1
C-1007,2024-07-18,62.78
C-1504,2024-03-27,44.04
C-1407,2025-04-27,60.54
C-1663,2024-01-17,14.59
C-1650,2025-03-11,25.85
C-1398,2024-07-29,23.59
C-1490,2025-03-17,71.1
C-1260,2026-02-11,90.57
C-1319,2024-05-17,76.57
C-1549,2025-09-14,84.88
C-1920,2024-11-24,32.3
C-1961,2025-04-07,45.32
C-1381,2025-08-12,47.48
C-1616,2024-06-17,54.19
C-1766,2025-01-04,72.23
C-1777,2024-05-28,52.81
C-1769,2025-01-08,22.99
C-1780,2025-11-23,56.23
C-1287,2024-08-13,79.88
C-1522,2025-06-05,71.7
C-1182,2025-10-26,48.69
C-1487,2024-05-03,21.57
C-1413,2025-12-25,43.93
C-1171,2024-10-14,45.38
C-1916,2024-05-01,54.92
C-1543,2024-08-09,49.99
C-1396,2025-10-22,63.48
C-1637,2024-10-28,81.66
C-1235,2026-01-05,77.03
C-1202,2024-09-12,64.79
C-1533,2026-03-07,55.91
C-1780,2025-04-10,64.67
C-1435,2024-10-09,34.53
C-1561,2025-08-29,19.12
C-1043,2025-04-05,53.81
C-1277,2025-11-13,79.1
C-1514,2025-12-03,80.57
C-1629,2024-01-19,85.06
C-1228,2024-04-20,61.15
C-1135,2024-12-27,94.8
C-1875,2024-09-17,62.41
C-1514,2025-03-24,29.33
C-1831,2025-05-05,36.37
C-1472,2024-01-10,77.78
C-1730,2024-03-06,72.52
C-1936,2024-04-21,63.34
C-1597,2024-08-21,98.64
C-1601,2024-11-09,11.5
C-1754,2026-01-04,21.81
C-1069,2024-07-29,106.81
C-1535,2024-08-14,43.01
C-1153,2026-01-11,105.43
C-1404,2024-07-20,32.47
C-1037,2026-02-10,42.51
C-1272,2024-04-28,19.58
C-1582,2025-05-30,108.76
C-1740,2024-12-01,57.43
C-1697,2024-02-24,47.67
C-1535,2024-06-10,58.32
C-1669,2025-08-16,45.81
C-1914,2024-11-14,56.97
C-1877,2024-07-29,49.89
C-1541,2024-11-09,41.4
C-1997,2024-04-26,57.65
C-1431,2025-11-15,99.33
C-1739,2024-12-15,33.5
C-1145,2025-09-19,11.0
C-1112,2026-02-01,73.53
C-1824,2024-04-27,75.95
C-1812,2024-06-09,110.85
C-1751,2024-02-16,22.7
C-1986,2025-02-02,89.42
C-1074,2024-05-16,45.87
C-1601,2025-02-03,64.11
C-1137,2024-02-19,13.7
C-1770,2025-09-10,59.23
C-1876,2025-07-16,8.05
C-1756,2025-03-01,42.66
C-1580,2024-12-14,70.86
C-1831,2024-02-18,75.82
C-1355,2025-08-04,51.91
C-1601,2024-09-16,58.0
C-1611,2024-06-30,59.38
C-1685,2024-12-29,66.86
C-1663,2025-07-01,37.8
C-1724,2025-02-11,52.0
C-1219,2024-06-11,48.89
C-1950,2024-08-07,22.92
C-1728,2024-07-23,13.1
C-1581,2025-07-09,60.22
C-1618,2025-08-18,49.92
C-1849,2024-09-06,13.44
C-1689,2025-06-02,78.51
C-1069,2025-09-30,78.61
C-1202,2024-05-27,28.27
C-1471,2025-10-16,47.25
C-1665,2025-05-06,82.8
C-1887,2024-05-21,78.83
C-1729,2024-10-31,17.37
C-1914,2025-01-05,57.4
C-1444,2025-02-28,65.44
C-1160,2024-06-26,36.78
C-1326,2025-08-20,103.88
C-1288,2025-08-15,85.36
C-1422,2025-08-20,23.52
C-1176,2025-06-12,14.86
C-1609,2025-07-30,71.55
C-1841,2025-05-31,41.55
C-1879,2025-03-10,115.3
C-1636,2025-11-09,33.68
C-1935,2024-10-20,57.21
C-1955,2025-07-24,35.58
C-1830,2025-07-14,53.23
C-1959,2024-02-01,33.73
C-1382,2024-03-08,39.69
C-1877,2024-08-01,25.78
C-1781,2025-01-15,68.78
C-1679,2024-02-27,66.02
C-1065,2026-01-29,102.64
